IP,Hostname,Port,Port Protocol,CVSS,Severity,Solution Type,NVT Name,Summary,Specific Result,NVT OID,CVEs,Task ID,Task Name,Timestamp,Result ID,Impact,Solution,Affected Software/OS,Vulnerability Insight,Vulnerability Detection Method,Product Detection Result,BIDs,CERTs,Other References
192.168.1.136,,443,tcp,10.0,High,"VendorFix","Tiki Wiki CMS Groupware End of Life (EOL) Detection","The Tiki Wiki CMS Groupware version on the remote host has reached
  the End of Life (EOL) and should not be used anymore.","The ""Tiki Wiki CMS Groupware"" version on the remote host has reached the end of life.

CPE:               cpe:/a:tiki:tikiwiki_cms/groupware:1.9.5
Installed version: 1.9.5
Location/URL:      https://owaspbwa/tikiwiki
EOL version:       1
EOL date:          unknown
EOL info:          https://tiki.org/Versions#Version_Lifecycle
",1.3.6.1.4.1.25623.1.0.108622,"",424d12b2-bf66-4b3d-b80a-4b928dc819e0,"Scan Suspect acutal Host 192.168.1.136",2022-04-24T06:09:17Z,48495bb1-02f9-40f4-bd1d-7df92ca685f5,"An EOL version of Tiki Wiki CMS Groupware is not receiving any
  security updates from the vendor. Unfixed security vulnerabilities might be leveraged by an attacker to
  compromise the security of this host.","Update the Tiki Wiki CMS Groupware version on the remote host to a
  still supported version.","","","Checks if an EOL version is present on the target host.
Details:
Tiki Wiki CMS Groupware End of Life (EOL) Detection
(OID: 1.3.6.1.4.1.25623.1.0.108622)
Version used: 2020-12-09T14:13:00Z
","","","",""
192.168.1.136,,443,tcp,10.0,High,"VendorFix","Tiki Wiki CMS Groupware End of Life (EOL) Detection","The Tiki Wiki CMS Groupware version on the remote host has reached
  the End of Life (EOL) and should not be used anymore.","The ""Tiki Wiki CMS Groupware"" version on the remote host has reached the end of life.

CPE:               cpe:/a:tiki:tikiwiki_cms/groupware:1.9.5
Installed version: 1.9.5
Location/URL:      https://owaspbwa.lan/tikiwiki
EOL version:       1
EOL date:          unknown
EOL info:          https://tiki.org/Versions#Version_Lifecycle
",1.3.6.1.4.1.25623.1.0.108622,"",424d12b2-bf66-4b3d-b80a-4b928dc819e0,"Scan Suspect acutal Host 192.168.1.136",2022-04-24T06:09:17Z,62177bcc-a0a1-4b0a-8e76-e2b00d8fb884,"An EOL version of Tiki Wiki CMS Groupware is not receiving any
  security updates from the vendor. Unfixed security vulnerabilities might be leveraged by an attacker to
  compromise the security of this host.","Update the Tiki Wiki CMS Groupware version on the remote host to a
  still supported version.","","","Checks if an EOL version is present on the target host.
Details:
Tiki Wiki CMS Groupware End of Life (EOL) Detection
(OID: 1.3.6.1.4.1.25623.1.0.108622)
Version used: 2020-12-09T14:13:00Z
","","","",""
192.168.1.136,,,,10.0,High,"Mitigation","Operating System (OS) End of Life (EOL) Detection","The Operating System (OS) on the remote host has reached the End
  of Life (EOL) and should not be used anymore.","The ""Ubuntu"" Operating System on the remote host has reached the end of life.

CPE:               cpe:/o:canonical:ubuntu_linux:10.04
Installed version,
build or SP:       10.04
EOL date:          2015-04-30
EOL info:          https://wiki.ubuntu.com/Releases
",1.3.6.1.4.1.25623.1.0.103674,"",424d12b2-bf66-4b3d-b80a-4b928dc819e0,"Scan Suspect acutal Host 192.168.1.136",2022-04-24T06:09:17Z,97f32a5b-0939-42d4-b47f-474821ddaf5e,"An EOL version of an OS is not receiving any security updates
  from the vendor. Unfixed security vulnerabilities might be leveraged by an attacker to compromise
  the security of this host.","Upgrade the OS on the remote host to a version which is still
  supported and receiving security updates by the vendor.","","","Checks if an EOL version of an OS is present on the target
  host.
Details:
Operating System (OS) End of Life (EOL) Detection
(OID: 1.3.6.1.4.1.25623.1.0.103674)
Version used: 2022-04-05T13:00:52Z
","","","",""
192.168.1.136,,80,tcp,10.0,High,"VendorFix","Tiki Wiki CMS Groupware End of Life (EOL) Detection","The Tiki Wiki CMS Groupware version on the remote host has reached
  the End of Life (EOL) and should not be used anymore.","The ""Tiki Wiki CMS Groupware"" version on the remote host has reached the end of life.

CPE:               cpe:/a:tiki:tikiwiki_cms/groupware:1.9.5
Installed version: 1.9.5
Location/URL:      http://owaspbwa.lan/tikiwiki
EOL version:       1
EOL date:          unknown
EOL info:          https://tiki.org/Versions#Version_Lifecycle
",1.3.6.1.4.1.25623.1.0.108622,"",424d12b2-bf66-4b3d-b80a-4b928dc819e0,"Scan Suspect acutal Host 192.168.1.136",2022-04-24T06:09:17Z,33f0e960-1f4c-457a-bab6-f7bb18445368,"An EOL version of Tiki Wiki CMS Groupware is not receiving any
  security updates from the vendor. Unfixed security vulnerabilities might be leveraged by an attacker to
  compromise the security of this host.","Update the Tiki Wiki CMS Groupware version on the remote host to a
  still supported version.","","","Checks if an EOL version is present on the target host.
Details:
Tiki Wiki CMS Groupware End of Life (EOL) Detection
(OID: 1.3.6.1.4.1.25623.1.0.108622)
Version used: 2020-12-09T14:13:00Z
","","","",""
192.168.1.136,,80,tcp,10.0,High,"VendorFix","Tiki Wiki CMS Groupware End of Life (EOL) Detection","The Tiki Wiki CMS Groupware version on the remote host has reached
  the End of Life (EOL) and should not be used anymore.","The ""Tiki Wiki CMS Groupware"" version on the remote host has reached the end of life.

CPE:               cpe:/a:tiki:tikiwiki_cms/groupware:1.9.5
Installed version: 1.9.5
Location/URL:      http://owaspbwa/tikiwiki
EOL version:       1
EOL date:          unknown
EOL info:          https://tiki.org/Versions#Version_Lifecycle
",1.3.6.1.4.1.25623.1.0.108622,"",424d12b2-bf66-4b3d-b80a-4b928dc819e0,"Scan Suspect acutal Host 192.168.1.136",2022-04-24T06:09:17Z,a1032485-8a64-4399-9200-2f96757ce751,"An EOL version of Tiki Wiki CMS Groupware is not receiving any
  security updates from the vendor. Unfixed security vulnerabilities might be leveraged by an attacker to
  compromise the security of this host.","Update the Tiki Wiki CMS Groupware version on the remote host to a
  still supported version.","","","Checks if an EOL version is present on the target host.
Details:
Tiki Wiki CMS Groupware End of Life (EOL) Detection
(OID: 1.3.6.1.4.1.25623.1.0.108622)
Version used: 2020-12-09T14:13:00Z
","","","",""
192.168.1.136,,80,tcp,9.8,High,"VendorFix","Joomla! < 3.9.7 Multiple Vulnerabilities","Joomla! is prone to multiple vulnerabilities.","Installed version: 1.5.15
Fixed version:     3.9.7
Installation
path / port:       /joomla

",1.3.6.1.4.1.25623.1.0.113390,"CVE-2019-12764,CVE-2019-12765,CVE-2019-12766",424d12b2-bf66-4b3d-b80a-4b928dc819e0,"Scan Suspect acutal Host 192.168.1.136",2022-04-24T06:09:17Z,ce205d87-c659-4eda-9f14-4584f51559e0,"Successful exploitation can have effects ranging from disclosure of sensitive information
  to executing arbitrary code on the target machine.","Update to version 3.9.7.","Joomla! through version 3.9.6.","The following vulnerabilities exist:

  - The update server URL of com_joomlaupdate can be manipulated by non Super-Admin users.

  - The subform fieldtype does not sufficiently filter or validate input of subfields.
    This leads to XSS attack vectors.

  - The CSV export of com_actionslogs is vulnerable to CSV injection.","Checks if a vulnerable version is present on the target host.
Details:
Joomla! < 3.9.7 Multiple Vulnerabilities
(OID: 1.3.6.1.4.1.25623.1.0.113390)
Version used: 2022-04-14T10:40:31Z
","","","DFN-CERT-2019-1179,CB-K19/0495",""
192.168.1.136,,443,tcp,9.8,High,"VendorFix","Joomla! < 3.8.0 LDAP Information Disclosure Vulnerability","Joomla is prone to an information disclosure vulnerability.","Installed version: 1.5.15
Fixed version:     3.8.0

",1.3.6.1.4.1.25623.1.0.112049,"CVE-2017-14596",424d12b2-bf66-4b3d-b80a-4b928dc819e0,"Scan Suspect acutal Host 192.168.1.136",2022-04-24T06:09:17Z,175378d2-5470-47cc-aaec-60da5321a738,"Successfully exploiting these issues will allow
  remote attackers to gain access to potentially sensitive information.","Upgrade to Joomla version 3.8.0 or later.","Joomla! versions 1.5.0 through 3.7.5","Joomla is prone to the following information disclosure vulnerability:

  - Inadequate escaping in the LDAP authentication plugin can result into a disclosure of username and password.","Checks if a vulnerable version is present on the target host.
Details:
Joomla! < 3.8.0 LDAP Information Disclosure Vulnerability
(OID: 1.3.6.1.4.1.25623.1.0.112049)
Version used: 2021-09-30T08:43:52Z
","","","DFN-CERT-2017-1977,DFN-CERT-2017-1663,CB-K17/1899,CB-K17/1591",""
192.168.1.136,,443,tcp,9.8,High,"VendorFix","Joomla! < 3.9.7 Multiple Vulnerabilities","Joomla! is prone to multiple vulnerabilities.","Installed version: 1.5.15
Fixed version:     3.9.7
Installation
path / port:       /joomla

",1.3.6.1.4.1.25623.1.0.113390,"CVE-2019-12764,CVE-2019-12765,CVE-2019-12766",424d12b2-bf66-4b3d-b80a-4b928dc819e0,"Scan Suspect acutal Host 192.168.1.136",2022-04-24T06:09:17Z,aca81c19-a027-452c-b9a1-0740af03400a,"Successful exploitation can have effects ranging from disclosure of sensitive information
  to executing arbitrary code on the target machine.","Update to version 3.9.7.","Joomla! through version 3.9.6.","The following vulnerabilities exist:

  - The update server URL of com_joomlaupdate can be manipulated by non Super-Admin users.

  - The subform fieldtype does not sufficiently filter or validate input of subfields.
    This leads to XSS attack vectors.

  - The CSV export of com_actionslogs is vulnerable to CSV injection.","Checks if a vulnerable version is present on the target host.
Details:
Joomla! < 3.9.7 Multiple Vulnerabilities
(OID: 1.3.6.1.4.1.25623.1.0.113390)
Version used: 2022-04-14T10:40:31Z
","","","DFN-CERT-2019-1179,CB-K19/0495",""
192.168.1.136,,443,tcp,9.8,High,"VendorFix","Joomla < 3.9.5 Multiple Vulnerabilities","Joomla! is prone to multiple vulnerabilities.","Installed version: 1.5.15
Fixed version:     3.9.5
Installation
path / port:       /joomla

",1.3.6.1.4.1.25623.1.0.113369,"CVE-2019-10945,CVE-2019-10946,CVE-2019-11358",424d12b2-bf66-4b3d-b80a-4b928dc819e0,"Scan Suspect acutal Host 192.168.1.136",2022-04-24T06:09:17Z,0e563a1a-cec4-4a75-8b59-3ee9bf00c02f,"Successful exploitation would allow an attacker to access sensitive information
  or execute arbitrary commands.","Update to version 3.9.5.","Joomla! through version 3.9.4.","The following vulnerabilities exist:

  - The Media Manager component does not properly sanitize the folder parameter,
    allowing attackers to act outside the media manager root directory

  - The 'refresh list of helpsites' endpoint of com_users lacks access checks,
    allowing calls from unauthenticated users

  - The $.extend method of JQuery is vulnerable to Object.prototype pollution attacks (CVE-2019-11358)","Checks if a vulnerable version is present on the target host.
Details:
Joomla < 3.9.5 Multiple Vulnerabilities
(OID: 1.3.6.1.4.1.25623.1.0.113369)
Version used: 2021-09-02T13:01:30Z
","","","DFN-CERT-2021-1536,DFN-CERT-2021-1503,DFN-CERT-2021-0826,DFN-CERT-2020-2423,DFN-CERT-2020-2335,DFN-CERT-2020-2286,DFN-CERT-2020-2130,DFN-CERT-2020-1812,DFN-CERT-2020-1574,DFN-CERT-2020-1537,DFN-CERT-2020-1506,DFN-CERT-2020-0772,DFN-CERT-2020-0769,DFN-CERT-2020-0721,DFN-CERT-2020-0276,DFN-CERT-2020-0102,DFN-CERT-2020-0100,DFN-CERT-2019-2169,DFN-CERT-2019-2158,DFN-CERT-2019-2156,DFN-CERT-2019-2126,DFN-CERT-2019-1861,DFN-CERT-2019-1663,DFN-CERT-2019-1460,DFN-CERT-2019-1182,DFN-CERT-2019-1153,DFN-CERT-2019-1118,DFN-CERT-2019-1033,DFN-CERT-2019-0914,DFN-CERT-2019-0899,DFN-CERT-2019-0805,DFN-CERT-2019-0723,CB-K22/0045,CB-K21/1083,CB-K20/1049,CB-K20/1030,CB-K20/0800,CB-K20/0710,CB-K20/0324,CB-K20/0314,CB-K20/0309,CB-K20/0106,CB-K20/0041,CB-K20/0037,CB-K20/0034,CB-K19/0921,CB-K19/0920,CB-K19/0916,CB-K19/0911,CB-K19/0909,CB-K19/0619,CB-K19/0504,CB-K19/0329,CB-K19/0287",""
192.168.1.136,,80,tcp,9.8,High,"VendorFix","Joomla! < 3.8.0 LDAP Information Disclosure Vulnerability","Joomla is prone to an information disclosure vulnerability.","Installed version: 1.5.15
Fixed version:     3.8.0

",1.3.6.1.4.1.25623.1.0.112049,"CVE-2017-14596",424d12b2-bf66-4b3d-b80a-4b928dc819e0,"Scan Suspect acutal Host 192.168.1.136",2022-04-24T06:09:17Z,ebc23106-21b1-4d06-98e3-d3c14ee5f4f2,"Successfully exploiting these issues will allow
  remote attackers to gain access to potentially sensitive information.","Upgrade to Joomla version 3.8.0 or later.","Joomla! versions 1.5.0 through 3.7.5","Joomla is prone to the following information disclosure vulnerability:

  - Inadequate escaping in the LDAP authentication plugin can result into a disclosure of username and password.","Checks if a vulnerable version is present on the target host.
Details:
Joomla! < 3.8.0 LDAP Information Disclosure Vulnerability
(OID: 1.3.6.1.4.1.25623.1.0.112049)
Version used: 2021-09-30T08:43:52Z
","","","DFN-CERT-2017-1977,DFN-CERT-2017-1663,CB-K17/1899,CB-K17/1591",""
