IP,Hostname,Port,Port Protocol,CVSS,Severity,Solution Type,NVT Name,Summary,Specific Result,NVT OID,CVEs,Task ID,Task Name,Timestamp,Result ID,Impact,Solution,Affected Software/OS,Vulnerability Insight,Vulnerability Detection Method,Product Detection Result,BIDs,CERTs,Other References
192.168.1.136,,,,10.0,High,"Mitigation","Operating System (OS) End of Life (EOL) Detection","The Operating System (OS) on the remote host has reached the End
  of Life (EOL) and should not be used anymore.","The ""Ubuntu"" Operating System on the remote host has reached the end of life.

CPE:               cpe:/o:canonical:ubuntu_linux:10.04
Installed version,
build or SP:       10.04
EOL date:          2015-04-30
EOL info:          https://wiki.ubuntu.com/Releases
",1.3.6.1.4.1.25623.1.0.103674,"",6d5239fe-2274-4d1d-a0a5-de625fc13464,"owasp",2022-04-17T18:14:15Z,2fac4e03-c86e-4744-a446-bf5359c58f84,"An EOL version of an OS is not receiving any security updates
  from the vendor. Unfixed security vulnerabilities might be leveraged by an attacker to compromise
  the security of this host.","Upgrade the OS on the remote host to a version which is still
  supported and receiving security updates by the vendor.","","","Checks if an EOL version of an OS is present on the target
  host.
Details:
Operating System (OS) End of Life (EOL) Detection
(OID: 1.3.6.1.4.1.25623.1.0.103674)
Version used: 2022-04-05T13:00:52Z
","","","",""
192.168.1.136,,443,tcp,10.0,High,"VendorFix","Tiki Wiki CMS Groupware End of Life (EOL) Detection","The Tiki Wiki CMS Groupware version on the remote host has reached
  the End of Life (EOL) and should not be used anymore.","The ""Tiki Wiki CMS Groupware"" version on the remote host has reached the end of life.

CPE:               cpe:/a:tiki:tikiwiki_cms/groupware:1.9.5
Installed version: 1.9.5
Location/URL:      https://owaspbwa/tikiwiki
EOL version:       1
EOL date:          unknown
EOL info:          https://tiki.org/Versions#Version_Lifecycle
",1.3.6.1.4.1.25623.1.0.108622,"",6d5239fe-2274-4d1d-a0a5-de625fc13464,"owasp",2022-04-17T18:14:15Z,8b23ff57-3fba-4f9c-9c2c-2ca0ec94c5fc,"An EOL version of Tiki Wiki CMS Groupware is not receiving any
  security updates from the vendor. Unfixed security vulnerabilities might be leveraged by an attacker to
  compromise the security of this host.","Update the Tiki Wiki CMS Groupware version on the remote host to a
  still supported version.","","","Checks if an EOL version is present on the target host.
Details:
Tiki Wiki CMS Groupware End of Life (EOL) Detection
(OID: 1.3.6.1.4.1.25623.1.0.108622)
Version used: 2020-12-09T14:13:00Z
","","","",""
192.168.1.136,,80,tcp,10.0,High,"VendorFix","Tiki Wiki CMS Groupware End of Life (EOL) Detection","The Tiki Wiki CMS Groupware version on the remote host has reached
  the End of Life (EOL) and should not be used anymore.","The ""Tiki Wiki CMS Groupware"" version on the remote host has reached the end of life.

CPE:               cpe:/a:tiki:tikiwiki_cms/groupware:1.9.5
Installed version: 1.9.5
Location/URL:      http://owaspbwa/tikiwiki
EOL version:       1
EOL date:          unknown
EOL info:          https://tiki.org/Versions#Version_Lifecycle
",1.3.6.1.4.1.25623.1.0.108622,"",6d5239fe-2274-4d1d-a0a5-de625fc13464,"owasp",2022-04-17T18:14:15Z,c1bd9cec-51be-420d-b313-dd9966e909dc,"An EOL version of Tiki Wiki CMS Groupware is not receiving any
  security updates from the vendor. Unfixed security vulnerabilities might be leveraged by an attacker to
  compromise the security of this host.","Update the Tiki Wiki CMS Groupware version on the remote host to a
  still supported version.","","","Checks if an EOL version is present on the target host.
Details:
Tiki Wiki CMS Groupware End of Life (EOL) Detection
(OID: 1.3.6.1.4.1.25623.1.0.108622)
Version used: 2020-12-09T14:13:00Z
","","","",""
192.168.1.136,,80,tcp,10.0,High,"VendorFix","Tiki Wiki CMS Groupware End of Life (EOL) Detection","The Tiki Wiki CMS Groupware version on the remote host has reached
  the End of Life (EOL) and should not be used anymore.","The ""Tiki Wiki CMS Groupware"" version on the remote host has reached the end of life.

CPE:               cpe:/a:tiki:tikiwiki_cms/groupware:1.9.5
Installed version: 1.9.5
Location/URL:      http://owaspbwa.lan/tikiwiki
EOL version:       1
EOL date:          unknown
EOL info:          https://tiki.org/Versions#Version_Lifecycle
",1.3.6.1.4.1.25623.1.0.108622,"",6d5239fe-2274-4d1d-a0a5-de625fc13464,"owasp",2022-04-17T18:14:15Z,16a5cf57-9347-4b05-be91-f1345732a3cd,"An EOL version of Tiki Wiki CMS Groupware is not receiving any
  security updates from the vendor. Unfixed security vulnerabilities might be leveraged by an attacker to
  compromise the security of this host.","Update the Tiki Wiki CMS Groupware version on the remote host to a
  still supported version.","","","Checks if an EOL version is present on the target host.
Details:
Tiki Wiki CMS Groupware End of Life (EOL) Detection
(OID: 1.3.6.1.4.1.25623.1.0.108622)
Version used: 2020-12-09T14:13:00Z
","","","",""
192.168.1.136,,443,tcp,10.0,High,"VendorFix","Tiki Wiki CMS Groupware End of Life (EOL) Detection","The Tiki Wiki CMS Groupware version on the remote host has reached
  the End of Life (EOL) and should not be used anymore.","The ""Tiki Wiki CMS Groupware"" version on the remote host has reached the end of life.

CPE:               cpe:/a:tiki:tikiwiki_cms/groupware:1.9.5
Installed version: 1.9.5
Location/URL:      https://owaspbwa.lan/tikiwiki
EOL version:       1
EOL date:          unknown
EOL info:          https://tiki.org/Versions#Version_Lifecycle
",1.3.6.1.4.1.25623.1.0.108622,"",6d5239fe-2274-4d1d-a0a5-de625fc13464,"owasp",2022-04-17T18:14:15Z,8be075fa-e323-46ff-8f7c-a0c193c6ecd4,"An EOL version of Tiki Wiki CMS Groupware is not receiving any
  security updates from the vendor. Unfixed security vulnerabilities might be leveraged by an attacker to
  compromise the security of this host.","Update the Tiki Wiki CMS Groupware version on the remote host to a
  still supported version.","","","Checks if an EOL version is present on the target host.
Details:
Tiki Wiki CMS Groupware End of Life (EOL) Detection
(OID: 1.3.6.1.4.1.25623.1.0.108622)
Version used: 2020-12-09T14:13:00Z
","","","",""
192.168.1.136,,80,tcp,9.8,High,"VendorFix","Joomla < 3.8.12 Multiple Vulnerabilities","Joomla is prone to multiple vulnerabilities.","Installed version: 1.5.15
Fixed version:     3.8.12
Installation
path / port:       /joomla

",1.3.6.1.4.1.25623.1.0.112371,"CVE-2018-15880,CVE-2018-15882",6d5239fe-2274-4d1d-a0a5-de625fc13464,"owasp",2022-04-17T18:14:15Z,27e1526a-c1a7-4e90-89a2-d51ab752b58c,"","Update to version 3.8.12 or later.","Joomla CMS versions 1.5.0 through 3.8.11.","The following vulnerabilities exist:

  - Inadequate output filtering on the user profile page could lead to a stored XSS attack. (CVE-2018-15880)

  - Inadequate checks in the InputFilter class could allow specifically prepared PHAR files to pass the upload filter. (CVE-2018-15882)","Checks if a vulnerable version is present on the target host.
Details:
Joomla < 3.8.12 Multiple Vulnerabilities
(OID: 1.3.6.1.4.1.25623.1.0.112371)
Version used: 2021-09-29T12:07:39Z
","","","DFN-CERT-2018-1744",""
192.168.1.136,,80,tcp,9.8,High,"VendorFix","Joomla! Core LDAP Information Disclosure Vulnerability Nov17","Joomla is prone to an information disclosure vulnerability.","Installed version: 1.5.15
Fixed version:     3.8.2

",1.3.6.1.4.1.25623.1.0.811896,"CVE-2017-14596",6d5239fe-2274-4d1d-a0a5-de625fc13464,"owasp",2022-04-17T18:14:15Z,cc89bfc8-566d-478d-8453-f6b450a4688b,"Successfully exploiting this issue allow
  remote attackers to disclose username and password.","Upgrade to Joomla version 3.8.2 or later.","Joomla core version 1.5.0 through 3.8.1","The flaw exists due to an inadequate
  escaping in the LDAP authentication plugin.","Checks if a vulnerable version is present on the target host.
Details:
Joomla! Core LDAP Information Disclosure Vulnerability Nov17
(OID: 1.3.6.1.4.1.25623.1.0.811896)
Version used: 2022-04-14T10:40:31Z
","","","DFN-CERT-2017-1977,DFN-CERT-2017-1663,CB-K17/1899,CB-K17/1591",""
192.168.1.136,,443,tcp,9.8,High,"VendorFix","Joomla < 3.9.5 Multiple Vulnerabilities","Joomla! is prone to multiple vulnerabilities.","Installed version: 1.5.15
Fixed version:     3.9.5
Installation
path / port:       /joomla

",1.3.6.1.4.1.25623.1.0.113369,"CVE-2019-10945,CVE-2019-10946,CVE-2019-11358",6d5239fe-2274-4d1d-a0a5-de625fc13464,"owasp",2022-04-17T18:14:15Z,14cffe98-55f7-4876-ad55-97090c81b8bb,"Successful exploitation would allow an attacker to access sensitive information
  or execute arbitrary commands.","Update to version 3.9.5.","Joomla! through version 3.9.4.","The following vulnerabilities exist:

  - The Media Manager component does not properly sanitize the folder parameter,
    allowing attackers to act outside the media manager root directory

  - The 'refresh list of helpsites' endpoint of com_users lacks access checks,
    allowing calls from unauthenticated users

  - The $.extend method of JQuery is vulnerable to Object.prototype pollution attacks (CVE-2019-11358)","Checks if a vulnerable version is present on the target host.
Details:
Joomla < 3.9.5 Multiple Vulnerabilities
(OID: 1.3.6.1.4.1.25623.1.0.113369)
Version used: 2021-09-02T13:01:30Z
","","","DFN-CERT-2021-1536,DFN-CERT-2021-1503,DFN-CERT-2021-0826,DFN-CERT-2020-2423,DFN-CERT-2020-2335,DFN-CERT-2020-2286,DFN-CERT-2020-2130,DFN-CERT-2020-1812,DFN-CERT-2020-1574,DFN-CERT-2020-1537,DFN-CERT-2020-1506,DFN-CERT-2020-0772,DFN-CERT-2020-0769,DFN-CERT-2020-0721,DFN-CERT-2020-0276,DFN-CERT-2020-0102,DFN-CERT-2020-0100,DFN-CERT-2019-2169,DFN-CERT-2019-2158,DFN-CERT-2019-2156,DFN-CERT-2019-2126,DFN-CERT-2019-1861,DFN-CERT-2019-1663,DFN-CERT-2019-1460,DFN-CERT-2019-1182,DFN-CERT-2019-1153,DFN-CERT-2019-1118,DFN-CERT-2019-1033,DFN-CERT-2019-0914,DFN-CERT-2019-0899,DFN-CERT-2019-0805,DFN-CERT-2019-0723,CB-K22/0045,CB-K21/1083,CB-K20/1049,CB-K20/1030,CB-K20/0800,CB-K20/0710,CB-K20/0324,CB-K20/0314,CB-K20/0309,CB-K20/0106,CB-K20/0041,CB-K20/0037,CB-K20/0034,CB-K19/0921,CB-K19/0920,CB-K19/0916,CB-K19/0911,CB-K19/0909,CB-K19/0619,CB-K19/0504,CB-K19/0329,CB-K19/0287",""
192.168.1.136,,80,tcp,9.8,High,"VendorFix","Joomla < 3.9.5 Multiple Vulnerabilities","Joomla! is prone to multiple vulnerabilities.","Installed version: 1.5.15
Fixed version:     3.9.5
Installation
path / port:       /joomla

",1.3.6.1.4.1.25623.1.0.113369,"CVE-2019-10945,CVE-2019-10946,CVE-2019-11358",6d5239fe-2274-4d1d-a0a5-de625fc13464,"owasp",2022-04-17T18:14:15Z,a41b32d2-a4a1-4182-b4e5-f9c8deef07f0,"Successful exploitation would allow an attacker to access sensitive information
  or execute arbitrary commands.","Update to version 3.9.5.","Joomla! through version 3.9.4.","The following vulnerabilities exist:

  - The Media Manager component does not properly sanitize the folder parameter,
    allowing attackers to act outside the media manager root directory

  - The 'refresh list of helpsites' endpoint of com_users lacks access checks,
    allowing calls from unauthenticated users

  - The $.extend method of JQuery is vulnerable to Object.prototype pollution attacks (CVE-2019-11358)","Checks if a vulnerable version is present on the target host.
Details:
Joomla < 3.9.5 Multiple Vulnerabilities
(OID: 1.3.6.1.4.1.25623.1.0.113369)
Version used: 2021-09-02T13:01:30Z
","","","DFN-CERT-2021-1536,DFN-CERT-2021-1503,DFN-CERT-2021-0826,DFN-CERT-2020-2423,DFN-CERT-2020-2335,DFN-CERT-2020-2286,DFN-CERT-2020-2130,DFN-CERT-2020-1812,DFN-CERT-2020-1574,DFN-CERT-2020-1537,DFN-CERT-2020-1506,DFN-CERT-2020-0772,DFN-CERT-2020-0769,DFN-CERT-2020-0721,DFN-CERT-2020-0276,DFN-CERT-2020-0102,DFN-CERT-2020-0100,DFN-CERT-2019-2169,DFN-CERT-2019-2158,DFN-CERT-2019-2156,DFN-CERT-2019-2126,DFN-CERT-2019-1861,DFN-CERT-2019-1663,DFN-CERT-2019-1460,DFN-CERT-2019-1182,DFN-CERT-2019-1153,DFN-CERT-2019-1118,DFN-CERT-2019-1033,DFN-CERT-2019-0914,DFN-CERT-2019-0899,DFN-CERT-2019-0805,DFN-CERT-2019-0723,CB-K22/0045,CB-K21/1083,CB-K20/1049,CB-K20/1030,CB-K20/0800,CB-K20/0710,CB-K20/0324,CB-K20/0314,CB-K20/0309,CB-K20/0106,CB-K20/0041,CB-K20/0037,CB-K20/0034,CB-K19/0921,CB-K19/0920,CB-K19/0916,CB-K19/0911,CB-K19/0909,CB-K19/0619,CB-K19/0504,CB-K19/0329,CB-K19/0287",""
192.168.1.136,,80,tcp,9.8,High,"VendorFix","Joomla! < 3.9.7 Multiple Vulnerabilities","Joomla! is prone to multiple vulnerabilities.","Installed version: 1.5.15
Fixed version:     3.9.7
Installation
path / port:       /joomla

",1.3.6.1.4.1.25623.1.0.113390,"CVE-2019-12764,CVE-2019-12765,CVE-2019-12766",6d5239fe-2274-4d1d-a0a5-de625fc13464,"owasp",2022-04-17T18:14:15Z,dcbd7e14-11d0-4de8-b2da-4a69a13bbefd,"Successful exploitation can have effects ranging from disclosure of sensitive information
  to executing arbitrary code on the target machine.","Update to version 3.9.7.","Joomla! through version 3.9.6.","The following vulnerabilities exist:

  - The update server URL of com_joomlaupdate can be manipulated by non Super-Admin users.

  - The subform fieldtype does not sufficiently filter or validate input of subfields.
    This leads to XSS attack vectors.

  - The CSV export of com_actionslogs is vulnerable to CSV injection.","Checks if a vulnerable version is present on the target host.
Details:
Joomla! < 3.9.7 Multiple Vulnerabilities
(OID: 1.3.6.1.4.1.25623.1.0.113390)
Version used: 2022-04-14T10:40:31Z
","","","DFN-CERT-2019-1179,CB-K19/0495",""
